run_tag,type,attack_method,mal_pcnt,aggregation_method,dirichlet_alpha
run_009,cifar,targeted_label_flip,0.3,fedcsap,0.9
run_010,cifar,targeted_label_flip,0.2,fedcsap,0.9
run_011,cifar,targeted_label_flip,0.1,fedcsap,0.9
run_012,cifar,targeted_label_flip,0.3,flshield,0.9
run_013,cifar,targeted_label_flip,0.2,flshield,0.9
run_014,cifar,targeted_label_flip,0.1,flshield,0.9
run_015,cifar,targeted_label_flip,0.3,fltrust,0.9
run_016,cifar,targeted_label_flip,0.2,fltrust,0.9
run_017,cifar,targeted_label_flip,0.1,fltrust,0.9
run_018,cifar,targeted_label_flip,0.3,krum,0.9
run_019,cifar,targeted_label_flip,0.2,krum,0.9
run_020,cifar,targeted_label_flip,0.1,krum,0.9
run_021,cifar,targeted_label_flip,0.3,afa,0.9
run_022,cifar,targeted_label_flip,0.2,afa,0.9
run_023,cifar,targeted_label_flip,0.1,afa,0.9
run_024,cifar,targeted_label_flip,0.3,fedavg,0.9
run_025,cifar,targeted_label_flip,0.2,fedavg,0.9
run_026,cifar,targeted_label_flip,0.1,fedavg,0.9
run_027,cifar,targeted_label_flip,0.3,median,0.9
run_028,cifar,targeted_label_flip,0.2,median,0.9
run_029,cifar,targeted_label_flip,0.1,median,0.9
run_030,cifar,targeted_label_flip,0.3,foolsgold,0.9
run_031,cifar,targeted_label_flip,0.2,foolsgold,0.9
run_032,cifar,targeted_label_flip,0.1,foolsgold,0.9
run_033,cifar,inner_product_manipulation,0.3,fedcsap,0.9
run_034,cifar,inner_product_manipulation,0.2,fedcsap,0.9
run_035,cifar,inner_product_manipulation,0.1,fedcsap,0.9
run_036,cifar,inner_product_manipulation,0.3,flshield,0.9
run_037,cifar,inner_product_manipulation,0.2,flshield,0.9
run_038,cifar,inner_product_manipulation,0.1,flshield,0.9
run_039,cifar,inner_product_manipulation,0.3,fltrust,0.9
run_040,cifar,inner_product_manipulation,0.2,fltrust,0.9
run_041,cifar,inner_product_manipulation,0.1,fltrust,0.9
run_042,cifar,inner_product_manipulation,0.3,krum,0.9
run_043,cifar,inner_product_manipulation,0.2,krum,0.9
run_044,cifar,inner_product_manipulation,0.1,krum,0.9
run_045,cifar,inner_product_manipulation,0.3,afa,0.9
run_046,cifar,inner_product_manipulation,0.2,afa,0.9
run_047,cifar,inner_product_manipulation,0.1,afa,0.9
run_048,cifar,inner_product_manipulation,0.3,fedavg,0.9
run_049,cifar,inner_product_manipulation,0.2,fedavg,0.9
run_050,cifar,inner_product_manipulation,0.1,fedavg,0.9
run_051,cifar,inner_product_manipulation,0.3,median,0.9
run_052,cifar,inner_product_manipulation,0.2,median,0.9
run_053,cifar,inner_product_manipulation,0.1,median,0.9
run_054,cifar,inner_product_manipulation,0.3,foolsgold,0.9
run_055,cifar,inner_product_manipulation,0.2,foolsgold,0.9
run_056,cifar,inner_product_manipulation,0.1,foolsgold,0.9
run_057,cifar,sf,0.3,fedcsap,0.9
run_058,cifar,sf,0.2,fedcsap,0.9
run_059,cifar,sf,0.1,fedcsap,0.9
run_060,cifar,sf,0.3,flshield,0.9
run_061,cifar,sf,0.2,flshield,0.9
run_062,cifar,sf,0.1,flshield,0.9
run_063,cifar,sf,0.3,fltrust,0.9
run_064,cifar,sf,0.2,fltrust,0.9
run_065,cifar,sf,0.1,fltrust,0.9
run_066,cifar,sf,0.3,krum,0.9
run_067,cifar,sf,0.2,krum,0.9
run_068,cifar,sf,0.1,krum,0.9
run_069,cifar,sf,0.3,afa,0.9
run_070,cifar,sf,0.2,afa,0.9
run_071,cifar,sf,0.1,afa,0.9
run_072,cifar,sf,0.3,fedavg,0.9
run_073,cifar,sf,0.2,fedavg,0.9
run_074,cifar,sf,0.1,fedavg,0.9
run_075,cifar,sf,0.3,median,0.9
run_076,cifar,sf,0.2,median,0.9
run_077,cifar,sf,0.1,median,0.9
run_078,cifar,sf,0.3,foolsgold,0.9
run_079,cifar,sf,0.2,foolsgold,0.9
run_080,cifar,sf,0.1,foolsgold,0.9
run_309,cifar,targeted_label_flip,0.3,fedcsap,0.9
run_310,cifar,targeted_label_flip,0.3,fedcsap,5
run_311,cifar,targeted_label_flip,0.3,fedcsap,10
run_312,cifar,targeted_label_flip,0.3,flshield,0.9
run_313,cifar,targeted_label_flip,0.3,flshield,5
run_314,cifar,targeted_label_flip,0.3,flshield,10
run_315,cifar,targeted_label_flip,0.3,fltrust,0.9
run_316,cifar,targeted_label_flip,0.3,fltrust,5
run_317,cifar,targeted_label_flip,0.3,fltrust,10
run_318,cifar,targeted_label_flip,0.3,krum,0.9
run_319,cifar,targeted_label_flip,0.3,krum,5
run_320,cifar,targeted_label_flip,0.3,krum,10
run_321,cifar,targeted_label_flip,0.3,afa,0.9
run_322,cifar,targeted_label_flip,0.3,afa,5
run_323,cifar,targeted_label_flip,0.3,afa,10
run_324,cifar,targeted_label_flip,0.3,fedavg,0.9
run_325,cifar,targeted_label_flip,0.3,fedavg,5
run_326,cifar,targeted_label_flip,0.3,fedavg,10
run_327,cifar,targeted_label_flip,0.3,median,0.9
run_328,cifar,targeted_label_flip,0.3,median,5
run_329,cifar,targeted_label_flip,0.3,median,10
run_330,cifar,targeted_label_flip,0.3,foolsgold,0.9
run_331,cifar,targeted_label_flip,0.3,foolsgold,5
run_332,cifar,targeted_label_flip,0.3,foolsgold,10
run_333,cifar,inner_product_manipulation,0.3,fedcsap,0.9
