run_tag,type,attack_method,mal_pcnt,aggregation_method
run_225,cifar,dba,0.3,fedcsap
run_226,cifar,dba,0.2,fedcsap
run_227,cifar,dba,0.1,fedcsap
run_228,pathmnist,dba,0.3,fedcsap
run_229,pathmnist,dba,0.2,fedcsap
run_230,pathmnist,dba,0.1,fedcsap
run_231,mnist,dba,0.3,fedcsap
run_232,mnist,dba,0.2,fedcsap
run_233,mnist,dba,0.1,fedcsap
run_234,cifar,dba,0.3,flshield
run_235,cifar,dba,0.2,flshield
run_236,cifar,dba,0.1,flshield
run_237,pathmnist,dba,0.3,flshield
run_238,pathmnist,dba,0.2,flshield
run_239,pathmnist,dba,0.1,flshield
run_240,mnist,dba,0.3,flshield
run_241,mnist,dba,0.2,flshield
run_242,mnist,dba,0.1,flshield
run_243,cifar,dba,0.3,fltrust
run_244,cifar,dba,0.2,fltrust
run_245,cifar,dba,0.1,fltrust
run_246,pathmnist,dba,0.3,fltrust
run_247,pathmnist,dba,0.2,fltrust
run_248,pathmnist,dba,0.1,fltrust
run_249,mnist,dba,0.3,fltrust
run_250,mnist,dba,0.2,fltrust
run_251,mnist,dba,0.1,fltrust
run_252,cifar,dba,0.3,krum
run_253,cifar,dba,0.2,krum
run_254,cifar,dba,0.1,krum
run_255,pathmnist,dba,0.3,krum
run_256,pathmnist,dba,0.2,krum
run_257,pathmnist,dba,0.1,krum
run_258,mnist,dba,0.3,krum
run_259,mnist,dba,0.2,krum
run_260,mnist,dba,0.1,krum
run_261,cifar,dba,0.3,afa
run_262,cifar,dba,0.2,afa
run_263,cifar,dba,0.1,afa
run_264,pathmnist,dba,0.3,afa
run_265,pathmnist,dba,0.2,afa
run_266,pathmnist,dba,0.1,afa
run_267,mnist,dba,0.3,afa
run_268,mnist,dba,0.2,afa
run_269,mnist,dba,0.1,afa
run_270,cifar,dba,0.3,fedavg
run_271,cifar,dba,0.2,fedavg
run_272,cifar,dba,0.1,fedavg
run_273,pathmnist,dba,0.3,fedavg
run_274,pathmnist,dba,0.2,fedavg
run_275,pathmnist,dba,0.1,fedavg
run_276,mnist,dba,0.3,fedavg
run_277,mnist,dba,0.2,fedavg
run_278,mnist,dba,0.1,fedavg
run_279,cifar,dba,0.3,median
run_280,cifar,dba,0.2,median
run_281,cifar,dba,0.1,median
run_282,pathmnist,dba,0.3,median
run_283,pathmnist,dba,0.2,median
run_284,pathmnist,dba,0.1,median
run_285,mnist,dba,0.3,median
run_286,mnist,dba,0.2,median
run_287,mnist,dba,0.1,median
run_288,cifar,dba,0.3,foolsgold
run_289,cifar,dba,0.2,foolsgold
run_290,cifar,dba,0.1,foolsgold
run_291,pathmnist,dba,0.3,foolsgold
run_292,pathmnist,dba,0.2,foolsgold
run_293,pathmnist,dba,0.1,foolsgold
run_294,mnist,dba,0.3,foolsgold
run_295,mnist,dba,0.2,foolsgold
run_296,mnist,dba,0.1,foolsgold
