run_tag,type,attack_method,mal_pcnt,aggregation_method
run_153,mnist,targeted_label_flip,0.3,fedcsap
run_154,mnist,targeted_label_flip,0.2,fedcsap
run_155,mnist,targeted_label_flip,0.1,fedcsap
run_156,mnist,targeted_label_flip,0.3,flshield
run_157,mnist,targeted_label_flip,0.2,flshield
run_158,mnist,targeted_label_flip,0.1,flshield
run_159,mnist,targeted_label_flip,0.3,fltrust
run_160,mnist,targeted_label_flip,0.2,fltrust
run_161,mnist,targeted_label_flip,0.1,fltrust
run_162,mnist,targeted_label_flip,0.3,krum
run_163,mnist,targeted_label_flip,0.2,krum
run_164,mnist,targeted_label_flip,0.1,krum
run_165,mnist,targeted_label_flip,0.3,afa
run_166,mnist,targeted_label_flip,0.2,afa
run_167,mnist,targeted_label_flip,0.1,afa
run_168,mnist,targeted_label_flip,0.3,fedavg
run_169,mnist,targeted_label_flip,0.2,fedavg
run_170,mnist,targeted_label_flip,0.1,fedavg
run_171,mnist,targeted_label_flip,0.3,median
run_172,mnist,targeted_label_flip,0.2,median
run_173,mnist,targeted_label_flip,0.1,median
run_174,mnist,targeted_label_flip,0.3,foolsgold
run_175,mnist,targeted_label_flip,0.2,foolsgold
run_176,mnist,targeted_label_flip,0.1,foolsgold
run_177,mnist,inner_product_manipulation,0.3,fedcsap
run_178,mnist,inner_product_manipulation,0.2,fedcsap
run_179,mnist,inner_product_manipulation,0.1,fedcsap
run_180,mnist,inner_product_manipulation,0.3,flshield
run_181,mnist,inner_product_manipulation,0.2,flshield
run_182,mnist,inner_product_manipulation,0.1,flshield
run_183,mnist,inner_product_manipulation,0.3,fltrust
run_184,mnist,inner_product_manipulation,0.2,fltrust
run_185,mnist,inner_product_manipulation,0.1,fltrust
run_186,mnist,inner_product_manipulation,0.3,krum
run_187,mnist,inner_product_manipulation,0.2,krum
run_188,mnist,inner_product_manipulation,0.1,krum
run_189,mnist,inner_product_manipulation,0.3,afa
run_190,mnist,inner_product_manipulation,0.2,afa
run_191,mnist,inner_product_manipulation,0.1,afa
run_192,mnist,inner_product_manipulation,0.3,fedavg
run_193,mnist,inner_product_manipulation,0.2,fedavg
run_194,mnist,inner_product_manipulation,0.1,fedavg
run_195,mnist,inner_product_manipulation,0.3,median
run_196,mnist,inner_product_manipulation,0.2,median
run_197,mnist,inner_product_manipulation,0.1,median
run_198,mnist,inner_product_manipulation,0.3,foolsgold
run_199,mnist,inner_product_manipulation,0.2,foolsgold
run_200,mnist,inner_product_manipulation,0.1,foolsgold
run_201,mnist,sf,0.3,fedcsap
run_202,mnist,sf,0.2,fedcsap
run_203,mnist,sf,0.1,fedcsap
run_204,mnist,sf,0.3,flshield
run_205,mnist,sf,0.2,flshield
run_206,mnist,sf,0.1,flshield
run_207,mnist,sf,0.3,fltrust
run_208,mnist,sf,0.2,fltrust
run_209,mnist,sf,0.1,fltrust
run_210,mnist,sf,0.3,krum
run_211,mnist,sf,0.2,krum
run_212,mnist,sf,0.1,krum
run_213,mnist,sf,0.3,afa
run_214,mnist,sf,0.2,afa
run_215,mnist,sf,0.1,afa
run_216,mnist,sf,0.3,fedavg
run_217,mnist,sf,0.2,fedavg
run_218,mnist,sf,0.1,fedavg
run_219,mnist,sf,0.3,median
run_220,mnist,sf,0.2,median
run_221,mnist,sf,0.1,median
run_222,mnist,sf,0.3,foolsgold
run_223,mnist,sf,0.2,foolsgold
run_224,mnist,sf,0.1,foolsgold
