run_tag,type,aggregation_method
run_373,cifar,fedavg
run_374,cifar,median
run_375,cifar,krum
run_376,cifar,foolsgold
run_377,cifar,fltrust
run_378,cifar,afa
run_379,cifar,fedcsap
run_380,pathmnist,fedavg
run_381,pathmnist,median
run_382,pathmnist,krum
run_383,pathmnist,foolsgold
run_384,pathmnist,fltrust
run_385,pathmnist,afa
run_386,pathmnist,fedcsap
run_387,mnist,fedavg
run_388,mnist,median
run_389,mnist,krum
run_390,mnist,foolsgold
run_391,mnist,fltrust
run_392,mnist,afa
run_393,mnist,fedcsap
