run_tag,type,attack_code,attack_strength,aggregation_method
run_406,mnist,TLF,2,frfl
run_407,mnist,TLF,5,frfl
run_408,mnist,TLF,8,frfl
run_409,mnist,SF,2,frfl
run_410,mnist,SF,5,frfl
run_411,mnist,SF,8,frfl
run_412,mnist,IPM,2,frfl
run_413,mnist,IPM,5,frfl
run_414,mnist,IPM,8,frfl
run_415,mnist,DBA,2,frfl
run_416,mnist,DBA,5,frfl
run_417,mnist,DBA,8,frfl
run_418,pathmnist,TLF,2,frfl
run_419,pathmnist,TLF,5,frfl
run_420,pathmnist,TLF,8,frfl
run_421,pathmnist,SF,2,frfl
run_422,pathmnist,SF,5,frfl
run_423,pathmnist,SF,8,frfl
run_424,pathmnist,IPM,2,frfl
run_425,pathmnist,IPM,5,frfl
run_426,pathmnist,IPM,8,frfl
run_427,pathmnist,DBA,2,frfl
run_428,pathmnist,DBA,5,frfl
run_429,pathmnist,DBA,8,frfl
run_430,cifar,TLF,2,frfl
run_431,cifar,TLF,5,frfl
run_432,cifar,TLF,8,frfl
run_433,cifar,SF,2,frfl
run_434,cifar,SF,5,frfl
run_435,cifar,SF,8,frfl
run_436,cifar,IPM,2,frfl
run_437,cifar,IPM,5,frfl
run_438,cifar,IPM,8,frfl
run_439,cifar,DBA,2,frfl
run_440,cifar,DBA,5,frfl
run_441,cifar,DBA,8,frfl
