run_tag,type,attack_code,attack_strength,aggregation_method
run_445,mnist,TLF,2,cbrfl
run_446,mnist,TLF,5,cbrfl
run_447,mnist,TLF,8,cbrfl
run_448,mnist,SF,2,cbrfl
run_449,mnist,SF,5,cbrfl
run_450,mnist,SF,8,cbrfl
run_451,mnist,IPM,2,cbrfl
run_452,mnist,IPM,5,cbrfl
run_453,mnist,IPM,8,cbrfl
run_454,mnist,DBA,2,cbrfl
run_455,mnist,DBA,5,cbrfl
run_456,mnist,DBA,8,cbrfl
run_457,pathmnist,TLF,2,cbrfl
run_458,pathmnist,TLF,5,cbrfl
run_459,pathmnist,TLF,8,cbrfl
run_460,pathmnist,SF,2,cbrfl
run_461,pathmnist,SF,5,cbrfl
run_462,pathmnist,SF,8,cbrfl
run_463,pathmnist,IPM,2,cbrfl
run_464,pathmnist,IPM,5,cbrfl
run_465,pathmnist,IPM,8,cbrfl
run_466,pathmnist,DBA,2,cbrfl
run_467,pathmnist,DBA,5,cbrfl
run_468,pathmnist,DBA,8,cbrfl
run_469,cifar,TLF,2,cbrfl
run_470,cifar,TLF,5,cbrfl
run_471,cifar,TLF,8,cbrfl
run_472,cifar,SF,2,cbrfl
run_473,cifar,SF,5,cbrfl
run_474,cifar,SF,8,cbrfl
run_475,cifar,IPM,2,cbrfl
run_476,cifar,IPM,5,cbrfl
run_477,cifar,IPM,8,cbrfl
run_478,cifar,DBA,2,cbrfl
run_479,cifar,DBA,5,cbrfl
run_480,cifar,DBA,8,cbrfl
