run_tag,type,attack_method,mal_pcnt,aggregation_method,dirichlet_alpha
run_016,cifar,targeted_label_flip,0.2,fltrust,0.9
run_017,cifar,targeted_label_flip,0.1,fltrust,0.9
run_027,cifar,targeted_label_flip,0.3,median,0.9
run_028,cifar,targeted_label_flip,0.2,median,0.9
run_029,cifar,targeted_label_flip,0.1,median,0.9
run_034,cifar,inner_product_manipulation,0.2,fedcsap,0.9
run_036,cifar,inner_product_manipulation,0.3,flshield,0.9
run_037,cifar,inner_product_manipulation,0.2,flshield,0.9
run_038,cifar,inner_product_manipulation,0.1,flshield,0.9
run_039,cifar,inner_product_manipulation,0.3,fltrust,0.9
run_040,cifar,inner_product_manipulation,0.2,fltrust,0.9
run_041,cifar,inner_product_manipulation,0.1,fltrust,0.9
run_042,cifar,inner_product_manipulation,0.3,krum,0.9
run_051,cifar,inner_product_manipulation,0.3,median,0.9
run_052,cifar,inner_product_manipulation,0.2,median,0.9
run_053,cifar,inner_product_manipulation,0.1,median,0.9
run_060,cifar,sf,0.3,flshield,0.9
run_065,cifar,sf,0.1,fltrust,0.9
run_075,cifar,sf,0.3,median,0.9
run_076,cifar,sf,0.2,median,0.9
run_077,cifar,sf,0.1,median,0.9
run_078,cifar,sf,0.3,foolsgold,0.9
run_079,cifar,sf,0.2,foolsgold,0.9
run_080,cifar,sf,0.1,foolsgold,0.9
run_088,pathmnist,targeted_label_flip,0.2,fltrust,0.9
run_099,pathmnist,targeted_label_flip,0.3,median,0.9
run_100,pathmnist,targeted_label_flip,0.2,median,0.9
run_101,pathmnist,targeted_label_flip,0.1,median,0.9
run_102,pathmnist,targeted_label_flip,0.3,foolsgold,0.9
run_103,pathmnist,targeted_label_flip,0.2,foolsgold,0.9
run_113,pathmnist,inner_product_manipulation,0.1,fltrust,0.9
run_123,pathmnist,inner_product_manipulation,0.3,median,0.9
run_124,pathmnist,inner_product_manipulation,0.2,median,0.9
run_125,pathmnist,inner_product_manipulation,0.1,median,0.9
run_129,pathmnist,sf,0.3,fedcsap,0.9
run_131,pathmnist,sf,0.1,fedcsap,0.9
run_137,pathmnist,sf,0.1,fltrust,0.9
run_147,pathmnist,sf,0.3,median,0.9
run_148,pathmnist,sf,0.2,median,0.9
run_149,pathmnist,sf,0.1,median,0.9
run_171,mnist,targeted_label_flip,0.3,median,0.9
run_172,mnist,targeted_label_flip,0.2,median,0.9
run_173,mnist,targeted_label_flip,0.1,median,0.9
run_195,mnist,inner_product_manipulation,0.3,median,0.9
run_196,mnist,inner_product_manipulation,0.2,median,0.9
run_197,mnist,inner_product_manipulation,0.1,median,0.9
run_209,mnist,sf,0.1,fltrust,0.9
run_219,mnist,sf,0.3,median,0.9
run_220,mnist,sf,0.2,median,0.9
run_221,mnist,sf,0.1,median,0.9
run_238,pathmnist,dba,0.2,flshield,0.9
run_243,cifar,dba,0.3,fltrust,0.9
run_244,cifar,dba,0.2,fltrust,0.9
run_245,cifar,dba,0.1,fltrust,0.9
run_256,pathmnist,dba,0.2,krum,0.9
run_257,pathmnist,dba,0.1,krum,0.9
run_275,pathmnist,dba,0.1,fedavg,0.9
run_279,cifar,dba,0.3,median,0.9
run_280,cifar,dba,0.2,median,0.9
run_281,cifar,dba,0.1,median,0.9
run_282,pathmnist,dba,0.3,median,0.9
run_283,pathmnist,dba,0.2,median,0.9
run_284,pathmnist,dba,0.1,median,0.9
run_285,mnist,dba,0.3,median,0.9
run_286,mnist,dba,0.2,median,0.9
run_287,mnist,dba,0.1,median,0.9
run_292,pathmnist,dba,0.2,foolsgold,0.9
run_293,pathmnist,dba,0.1,foolsgold,0.9
